Date,1,2,3,4,5,6,7,8,9,10,11,12
1,0,Trace,0,0.2,0,Trace,7.4,5.9,6.5,6.6,0,Trace
2,0,Trace,0,0,0,Trace,8.8,14.8,1,3.6,0,0
3,0,0,0,0,Trace,0,8.4,66.7,23.8,0,0,0
4,0,1.6,0,0,42.5,Trace,32.3,19.3,32.8,9.5,0.3,0
5,0,3.3,0,0,0,Trace,27.5,0.9,6.4,Trace,Trace,0
6,0,Trace,Trace,0.3,Trace,Trace,16.3,0,Trace,0.2,Trace,0
7,0,0,Trace,0,1.8,4.3,35.8,6.9,1.8,0,0.3,0
8,0,Trace,2.8,0,9.2,0,12.8,1.9,1.1,0,Trace,0
9,0,Trace,Trace,0,10.8,1.1,1.2,14.3,25.8,Trace,Trace,0
10,0,0,Trace,Trace,0,Trace,0.6,11.1,Trace,Trace,0,0
11,0,0,Trace,0.6,0,Trace,0,3.5,0,0.2,0,0
12,Trace,0,1,21.5,Trace,37.7,Trace,0,0.6,0,14.7,Trace
13,0.5,0,0,Trace,4.7,219.4,Trace,0,0,0,12.5,Trace
14,1,0,8.5,0,Trace,15.6,2.3,Trace,0,0.4,0.2,Trace
15,1.5,0,Trace,0,38.5,14.5,8.8,0.2,Trace,20.7,0,0
16,0.4,0,Trace,Trace,3,13.5,21,Trace,0,17.1,0,0
17,0,0,Trace,Trace,0,138,184.6,0,0,41.3,0,0
18,Trace,0,0.3,0,0.1,24.2,134.3,0,0,Trace,1.9,0
19,0,0.3,10.7,0,0.7,32.6,12.6,0,0,0,1,0
20,Trace,Trace,Trace,3.1,0.3,24.8,2,0,0.2,0,0,0
21,0,4.6,0.6,7.8,4.4,95.9,0.2,0,Trace,0,0,0
22,0,8,0.9,6.6,5.6,Trace,3.3,2,17.9,0,0,0
23,0,Trace,0,1.4,4.1,10.5,46.5,67.1,33.4,0,0,0
24,0,Trace,Trace,Trace,273.6,18.3,3.3,Trace,5.6,0,0,0
25,0,0.7,Trace,10.9,0,4.2,Trace,0.1,0.5,Trace,0,0
26,0,1.4,1,2.9,0,0.1,0,6.3,0,0,0,0
27,0,0,0,3.5,Trace,1.3,Trace,165.3,0,0,Trace,0
28,0.3,0,0,0,0,0,0,98.3,0,0,Trace,Trace
29,2.4,,0.3,0,0,0,0,0,Trace,0,0,0
30,1.2,,Trace,0,Trace,0,0,0.4,35,Trace,0.3,0
31,0.5,,21.9,,0,,0,4.1,,Trace,,Trace
